Rank,Symbol,Company,Signal Type,Crossover Date,Close,SMA 6,SMA 30
87,ADANIENSOL,Adani Energy Solutions Ltd.,Bearish Crossover,2026-08-07,1630.1,1638.42,1644.78
88,SOLARINDS,Solar Industries India Ltd.,Bullish Crossover,2026-08-04,18700.0,18354.5,18352.8
89,KOTAKBANK,Kotak Mahindra Bank Ltd.,Bullish Crossover,2026-08-03,397.5,389.56,388.48
90,POWERGRID,Power Grid Corporation of India Ltd.,Bearish Crossover,2026-07-31,284.25,285.86,286.19
91,ONGC,Oil & Natural Gas Corporation Ltd.,Bearish Crossover,2026-07-30,241.59,243.08,243.48
92,ADANIGREEN,Adani Green Energy Ltd.,Bearish Crossover,2026-07-23,1379.9,1496.95,1513.94
93,HDFCBANK,HDFC Bank Ltd.,Bearish Crossover,2026-07-22,753.15,789.26,793.58
94,HINDUNILVR,Hindustan Unilever Ltd.,Bearish Crossover,2026-07-14,2120.2,2148.42,2156.86
95,DIVISLAB,Divi's Laboratories Ltd.,Bullish Crossover,2026-07-07,6771.5,6698.83,6676.97
96,CUMMINSIND,Cummins India Ltd.,Bearish Crossover,2026-07-01,5663.0,5632.83,5645.88
97,VBL,Varun Beverages Ltd.,Bearish Crossover,2026-06-24,506.7,521.51,523.37
98,BOSCHLTD,Bosch Ltd.,Bullish Crossover,2026-06-04,37000.0,36890.83,36798.33
99,TATACONSUM,Tata Consumer Products Ltd.,Bearish Crossover,2026-06-01,1143.3,1182.15,1182.9
100,NTPC,NTPC Ltd.,Bearish Crossover,2026-05-19,389.4,392.07,393.12
